# Numbers - Dutch numbers from 0 to 1 million
# Format: Number(digits)|Dutch
0|nul
1|een
2|twee
3|drie
4|vier
5|vijf
6|zes
7|zeven
8|acht
9|negen
10|tien
11|elf
12|twaalf
13|dertien
14|veertien
15|vijftien
16|zestien
17|zeventien
18|achttien
19|negentien
20|twintig
21|eenentwintig
24|vierentwintig
28|achtentwintig
30|dertig
40|veertig
47|zevenenveertig
50|vijftig
60|zestig
63|drieenzestig
70|zeventig
80|tachtig
81|eenentachtig
90|negentig
93|drieennegentig
95|vijfennegentig
99|negenennegentig
100|honderd
200|tweehonderd
213|tweehonderddertien
300|driehonderd
325|driehonderdvijfentwintig
400|vierhonderd
482|vierhonderdtweeentachtig
500|vijfhonderd
516|vijfhonderdzestien
600|zeshonderd
679|zeshonderdnegenenzeventig
700|zevenhonderd
800|achthonderd
900|negenhonderd
911|negenhonderdelf
1000|duizend
1001|duizendeen
1350|duizendriehonderdvijftig
2000|tweeduizend
2437|tweeduizendvierhonderdzevenendertig
5000|vijfduizend
10000|tienduizend
50000|vijftigduizend
100000|honderdduizend
1000000|een miljoen
